id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,dxnj6LNw
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,grbyaItS
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,aYqIBOOn
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,orrZo9Bn
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,khHssN6z
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,4UKmRPGV
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,4OH1JAq2
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,TmjJvtLu
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,8yIqKQ9D
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,dEbNkYIw
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,7IpXG6J4
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,fqgmEROL
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,YgHXxVUE
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,zjdfJ3fw
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,e6RkNIXt
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,kyJ93a6i
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,2sTubQRS
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,4u6Rh4t8
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,ykTWrR5B
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,knAnEpwP
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,xXiAlR2a
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,cuJAEwfe
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,2TceUQ9V
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,8QzJUvUz
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,O4iIR7Xg
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,Ho6W1bpc
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,F58qNpiX
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,KL8gcA2B
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,Y7tPUJGa
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,5DrhNvO3
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,QF14PAOn
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,TQKDpr56
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,pUa4IEmC
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,MBN5KMwq
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,eMsNr4fe
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,NoVi6cyn
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,viRkG9cj
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,pZuEh9Xu
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,N4eZrDWR
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,5rHPiSOe
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,W5CXHPos
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,bifM1jd5
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,awtQQw7v
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,LCgeGlE5
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,QdNUeIEl
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,eZtazLJZ
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,CNFFLs5U
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,bETfJWZD
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,XTcsCWfc
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,wZxC4jd3
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,b41TozUq
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,9KXna2VU
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,h99DytE3
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,UkssClbR
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,vGyz4Y78
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,TR4xghZv
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,oaqYmrd7
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,XCVCN1gz
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,ClhcOVQ5
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,aQ6iAMSv
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,8q65EHgI
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,aLT7tFsB
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,qmLvMoJz
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,kDcRRPpv
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,x1oXcHes
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,RltoLYo7
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,wocIeV1W
67,Остюков Артур Романович,329,11и,3,Остюков_АР,Cua6eDz5
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,2gPDgepT
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,ZQK5PWHJ
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,hZz2NVyY
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,fU51pK56
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,48HNX9pt
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,1553CiRQ
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,VvBcxnah
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,vIGM7W4f
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,h4EjqpvG
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,l8oosj7x
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,L9PY7al9
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,vQgWdU53
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,Rh8aC6KT
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,YISBxKFl
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,V5bXTffH
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,uLby76nM
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,swCqiifH
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,TwtCB6GA
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,diBemqJc
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,bACR2WW4
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,EFbvAuck
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,5WzDvCEb
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,ZgWFbMfl
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,OMn33wO7
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,G8wBuKmz
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,LPoERhor
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,gnvwl7do
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,Y6G4nYtm
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,WZs8VmHF
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,Wv44cIId
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,e9pieiJ7
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,56d1DMMc
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,EPE2GaYX
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,w4KE5114
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,Z7PZZ2Fn
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,gcTLAYrS
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,AxDAo4Oz
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,dK6b3Qxo
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,ONvc5xvU
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,3L8mnlgN
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,QBwyLVGf
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,1mGY55UJ
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,aPCzdI3b
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,ljxvTa4t
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,FvQVBiJ4
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,gmUo84J6
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,nNUiy4y3
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,vGpjz5AW
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,eVvj2iMd
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,iyzwvyOC
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,lH13h4r3
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,gidHva7a
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,eMqjFnUp
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,iioODnU3
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,JyLho29Q
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,hka3YlXA
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,5oTUkz1h
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,IXgyZedE
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,FVhOAJif
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,M6CLsGzV
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,Ds24RVqn
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,QjLSvs4F
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,DNPov2Kr
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,fiXNFVzK
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,e8OpgS4N
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,yMOI6AKn
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,wZgyGNIB
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,rc41JTrM
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,EgS5P4Sb
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,BT77ncws
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,5WCh1GMj
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,xcfGw4pV
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,9JFzUjdS
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,mWRKhBTG
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,dbIVl3UI
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,zCJNG3Hv
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,PCj6tBt7
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,cksyegtl
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,sdIkPZ3E
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,tDSTzo9b
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,XB1Gh4RN
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,cOQuZy3d
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,LSsWhPVZ
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,GeXk8sEU
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,WNqBPimc
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,bacRsCf2
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,iSgPrVjp
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,9uy3AdcK
